,reviewText,Positive,sentiment
0,one best apps acording bunch people agree bomb egg pig tnt king pig realustic stuff,1,"('Neutral', {'neg': 0.146, 'neu': 0.548, 'pos': 0.306, 'compound': 0.5423})"
1,pretty good version game free . lot different level play . kid enjoy lot .,1,"('Good', {'neg': 0.0, 'neu': 0.318, 'pos': 0.682, 'compound': 0.9325})"
2,really cool game . bunch level find golden egg . super fun .,1,"('Good', {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.8687})"
3,"silly game frustrating , lot fun definitely recommend fun time .",1,"('Good', {'neg': 0.154, 'neu': 0.16, 'pos': 0.686, 'compound': 0.8402})"
4,terrific game pad . hr fun . grandkids love . great entertainment waiting long line,1,"('Good', {'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.9552})"
5,entertaining game ! n't smart play . guess 's like ... 's easy fun 's game suppose . warned : game highly addictive .,1,"('Neutral', {'neg': 0.211, 'neu': 0.396, 'pos': 0.393, 'compound': 0.7578})"
6,awesome n't need wi ti play trust . really fun addicting . like 100 level even free n't waste money expensive one mean seriously . get app,1,"('Good', {'neg': 0.043, 'neu': 0.405, 'pos': 0.552, 'compound': 0.9642})"
7,awesome bet one even read review know game good n't need,1,"('Neutral', {'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.7906})"
8,basicly free version ad . 's actually awesome ! ! ! ! 's addicting free time really . 'd reccomend .,1,"('Good', {'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.9164})"
9,far best free app available anywhere . helped pas time nothing else would . n't pas one . p hate 20 word minimum !,1,"('Neutral', {'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.8954})"
10,"definitely great game . get 6-year-old grand-nephew teach trick . figured , configuration tough beat . n't particularly care spending 45 minute completing level ,",1,"('Neutral', {'neg': 0.203, 'neu': 0.549, 'pos': 0.249, 'compound': 0.5032})"
11,. fun time consuming . work great kindle fire really like game btother,1,"('Good', {'neg': 0.122, 'neu': 0.357, 'pos': 0.52, 'compound': 0.8313})"
12,"good like physic game , free game , bird game . like free version ipod . get level add pop corner barely noticeable .",1,"('Good', {'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.926})"
13,great ! tried & true game cure boredom ! great try & get 3 star every level !,1,"('Good', {'neg': 0.104, 'neu': 0.361, 'pos': 0.536, 'compound': 0.8904})"
14,one best apps world along angry bird game . great passing time .,1,"('Neutral', {'neg': 0.168, 'neu': 0.408, 'pos': 0.423, 'compound': 0.7184})"
15,super fun though little frustrating time ! ! ! ! ! ! ! ! ! loved got kindle would beg brother dad play . get play time ! ! ! ! ! !,1,"('Good', {'neg': 0.086, 'neu': 0.362, 'pos': 0.553, 'compound': 0.9348})"
16,"ad free version angry bird . old fashioned version angry bird series . huge partially difficult game . played angry bird first time , 'll love",1,"('Neutral', {'neg': 0.321, 'neu': 0.363, 'pos': 0.316, 'compound': -0.0516})"
17,best app ever . make way easier babysitt mental kid . app fun .,1,"('Good', {'neg': 0.0, 'neu': 0.437, 'pos': 0.563, 'compound': 0.8834})"
18,best app ever downloaded people say 1 2 3 4 star n't know much supposed purfor 5 star app,1,"('Neutral', {'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6369})"
19,bestest game ever omg . im excited : play omg ! ! ! ! ! ! ! omg omg omg love angry bird much da bomb diggety cool omg omg omg omg omg,1,"('Neutral', {'neg': 0.176, 'neu': 0.487, 'pos': 0.337, 'compound': 0.7156})"
20,best game ever ! ! ! ! ! fun addicting . many different episode amazing . love !,1,"('Good', {'neg': 0.0, 'neu': 0.265, 'pos': 0.735, 'compound': 0.9563})"
